Ente,Unidade,Ano,Mes,Modalidade,Tipo,ProcessoLicitatorio,NumeroEdital,PublicacaoOficial,DataPublicacaoOficial,DataHomologacao,DataPublicacaoEdital,Objeto,Parecer,ValorEstimado,AdiadoSineDie,OrcamentoSigiloso,PercentualRecursosUniao
MACAE,PREFEITURA MACAE,2022,1,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,290026,PE 077/2021,PORTAL DE TRANSPARÊNCIA DO MUNICÍPIO DE MACAÉ,2022-01-10,2022-08-15,2021-12-22,"PRESTAÇÃO DE SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE ELEVADORES, COM FORNECIMENTO DE MÃO DE OBRA, FERRAMENTAS, EQUIPAMENTOS, MATERIAIS DE CONSUMO, MATERIAIS DE REPOSIÇÃO IMEDIATA E QUAISQUER O",None,58266.48,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,1,PREGÃO ELETRÔNICO,MENOR PREÇO GLOBAL,289566,PE 078/2021,DIÁRIO OFICIAL DA UNIÃO,2022-01-11,2022-01-11,2021-12-27,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇO DE NUTRIÇÃO E ALIMENTAÇÃO ESCOLAR VISANDO O PREPARO E DISTRIBUIÇÃO DE ALIMENTAÇÃO BALANCEADA E EM CONDIÇÕES HIGIÊNICO-SANITÁRIAS ADEQUADA,None,56098739.41,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,1,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,281287,PE 081/2021 SRP,DIÁRIO OFICIAL DA UNIÃO,2022-01-13,2022-01-14,2021-12-29,"AQUISIÇÃO DE ÁLCOOL ETÍLICO LIMPEZA DE AMBIENTES, TIPO: ETÍLICO HIDRATADO, CARACTERÍSTICAS ADICIONAIS: GEL, CONCENTRAÇÃO: 70%, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO",None,146000.0,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,1,PREGÃO ELETRÔNICO,MENOR PREÇO P/LOTE,287581,PE 079/2021,PORTAL DE TRANSPARÊNCIA DO MUNICÍPIO DE MACAÉ,2022-01-12,2022-06-29,2021-12-27,"PRESTAÇÃO DE SERVIÇOS DE INFORMÁTICA, PARA FORNECIMENTO DE SOLUÇÃO INTEGRADA DE LICENCIAMENTO DE “PLATAFORMA DE GESTÃO EDUCACIONAL”, COMPREENDENDO IMPLANTAÇÃO, PARAMETRIZAÇÃO, MIGRAÇÃO DE DADOS, CUSTO",None,4037640.0,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,1,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,281761,PE S080/2021,"DOU, O DIA, DOM E SITE",2022-01-21,2022-01-24,2021-12-30,"PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE VEÍCULOS AUTOMOTOR, COM MANUTENÇÃO E SEGURO, SEM MOTORISTA E SEM COMBUSTÍVEL, ATENDENDO AS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE INTERIOR.",None,391099.15,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,1,PREGÃO ELETRÔNICO,MENOR PREÇO P/LOTE,280958,PE F001/2022,DIÁRIO OFICIAL DA UNIÃO – DOU,2022-01-19,2022-01-21,2022-01-07,"AQUISIÇÃO DE REAGENTES E INSUMOS DIVERSOS, COM DISPONIBILIZAÇÃO DE EQUIPAMENTOS EM REGIME DE LOCAÇÃO .",None,4069763.2,NÃO,NÃO,33.3
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,1,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,280826,RGP PE F002/2022,SITE PREFEITURA,2022-01-24,2022-01-24,2022-01-11,AQUISIÇÃO DE LÂMPADAS VISANDO ATENDER ÀS NECESSIDADES DA COORDENAÇÃO DE MANUTENÇÃO PREDIAL DA SECRETARIA MUNICIPAL DE SAÚDE – SEMUSA,None,104113.8,NÃO,NÃO,60.0
MACAE,PREFEITURA MACAE,2022,2,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,282699,CP S001/2022,DIÁRIO OFICIAL DA UNIÃO,2022-02-24,2022-03-22,2022-01-11,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA ELÉTRICA PARA PRESTAÇÃO DE SERVIÇOS DE REFORMA PARA AS 45 SUBESTAÇÕES DO MUNICÍPIO DE MACAÉ, COM FORNECIMENTO TÉCNICO, ART, MÃO DE OBRA, MATERIAIS E",None,2580777.31,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,1,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,281113,RGP PE F004/2022,DIÁRIO OFICIAL DA UNIÃO (DOU),2022-01-20,2022-02-15,2022-01-13,"AQUISIÇÃO DE MATERIAIS DE USO HOSPITALAR (TUBOS), DE EXTREMA NECESSIDADE NESTE MOMENTO DE PANDEMIA DA COVID-19, VISANDO ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE ALTA E MÉDIA COMPLEXI",None,61983.59,NÃO,NÃO,60.0
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,1,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,282257,RGPE F 003/2022,SITE DA PREFEITURA,2022-01-25,2022-02-18,2022-01-13,AQUISIÇÃO DE MATERIAIS E CORRELATOS PARA LIMPEZA HOSPITALAR VISANDO ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE – SEMUSA.,None,6445534.45,NÃO,NÃO,50.0
