AnoParalisacao,DataParalisacao,TipoEnte,Ente,Nome,FuncaoGoverno,NumeroContrato,CNPJContratada,NomeContratada,TipoUnidade,ValorTotalContrato,ValorPagoObra,TempoParalizacao,MotivoParalisacao,DataInicioObra,StatusContrato,ClassificacaoObra,FontePrincipalRecursos,TipoParalisacao,DataUltimaAtualizacao,fonte
2008,2008-08-01T00:00:00.000,Municipal,ANGRA DOS REIS,SERV AUT ÁGUA TRAT ESGOTO ANGRA DOS REIS,SANEAMENTO,003/2004,03891159000131,Olguin Construtora Ltda,AUTARQUIA,299132.13,9787.35,ACIMA DE 2 ANOS,FATORES VINCULADOS AO MEIO AMBIENTE,2004-07-01T00:00:00.000,RESCINDIDO,NI,OUTROS RECURSOS,NI,2026-06-04T00:30:44.000,obras_paralisadas
2009,2009-09-01T00:00:00.000,Municipal,ANGRA DOS REIS,SERV AUT ÁGUA TRAT ESGOTO ANGRA DOS REIS,SANEAMENTO,005/2008,28699106000144,"Padrão Projetos, Sistemas e Saneamento básico ltda.",AUTARQUIA,926863.17,375373.03,ACIMA DE 2 ANOS,DESCUMPRIMENTO DE ESPECIFICAÇÕES TÉCNICAS E PRAZOS,2008-09-01T00:00:00.000,RESCINDIDO,NI,OUTROS RECURSOS,NI,2026-06-04T00:30:44.000,obras_paralisadas
2011,2011-10-01T00:00:00.000,Municipal,CARAPEBUS,PREFEITURA CARAPEBUS,URBANISMO,29/2011,08680836000196,Angemar Multicormecial e Empreendimentos LTDA,PREFEITURA,1397336.19,349307.06,ACIMA DE 2 ANOS,CASO FORTUITO OU FORÇA MAIOR,2011-07-01T00:00:00.000,RESCINDIDO,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",PRÓPRIO DO ENTE,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
2012,2012-09-01T00:00:00.000,Municipal,DUAS BARRAS,PREFEITURA DUAS BARRAS,URBANISMO,022/2012,28621688000146,construtora construpav,PREFEITURA,643632.38,17263.58,ACIMA DE 2 ANOS,OUTRO,2012-06-01T00:00:00.000,PRAZO EXPIRADO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",CONVÊNIO FEDERAL,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
2012,2012-08-01T00:00:00.000,Municipal,SAO JOAO DA BARRA,PREFEITURA SAO JOAO DA BARRA,SANEAMENTO,CP 07-2010,08928275000100,CONSORCIO SANJOBAR MARPEM PROACQUA,PREFEITURA,10134033.36,8325318.71,ACIMA DE 2 ANOS,OUTRO,2011-02-01T00:00:00.000,PRAZO EXPIRADO,NI,OUTROS RECURSOS,NI,2026-06-04T00:30:44.000,obras_paralisadas
2013,2013-04-01T00:00:00.000,Municipal,MARICA,FUNDO MUN SAÚDE MARICÁ,SAÚDE,72/2013,04743744000157,DIAS E PEREIRA CONSTRUÇÕES LTDA.,FUNDO,317679.09,0.01,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2013-03-01T00:00:00.000,VIGENTE,NI,OUTROS RECURSOS,NI,2026-06-04T00:30:44.000,obras_paralisadas
2013,2013-10-01T00:00:00.000,Municipal,MARICA,FUNDO MUN SAÚDE MARICÁ,SAÚDE,76/2013,11475341000130,LAX CONSTRUÇÕES E SERVIÇOS LTDA.,FUNDO,442536.97,299078.09,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2013-05-01T00:00:00.000,VIGENTE,NI,OUTROS RECURSOS,NI,2026-06-04T00:30:44.000,obras_paralisadas
2013,2013-10-31T00:00:00.000,Municipal,SAO JOAO DE MERITI,PREFEITURA SAO JOAO DE MERITI,EDUCAÇÃO,084/2011,00615133000172,Crater Construções LTDA.,PREFEITURA,5426199.82,5285491.88,ACIMA DE 2 ANOS,OUTRO,2012-04-01T00:00:00.000,VIGENTE,EDUCAÇÃO – QUADRAS EM UNIDADES DE ENSINO,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2013,2013-01-01T00:00:00.000,Municipal,DUAS BARRAS,PREFEITURA DUAS BARRAS,URBANISMO,023/2012,10622695000105,ultracon construção civil,PREFEITURA,451230.97,60121.67,ACIMA DE 2 ANOS,OUTRO,2012-06-01T00:00:00.000,PRAZO EXPIRADO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",CONVÊNIO FEDERAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2013,2013-05-01T00:00:00.000,Municipal,MACUCO,PREFEITURA MACUCO,SANEAMENTO,62/2012,09594456000100,CONSERVIT CONSTRUÇÃO E CONSERVAÇÃO LTDA,PREFEITURA,499015.75,248003.2,ACIMA DE 2 ANOS,FATORES VINCULADOS AO MEIO AMBIENTE,2012-07-01T00:00:00.000,RESCINDIDO,RECURSOS HÍDRICOS – CANAIS,CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
